Const,Name
nm0192505,Kaley Cuoco
nm0915208,Naomi Watts
nm1500155,Robert Pattinson
nm0402271,Charlie Hunnam
nm0396558,Nicholas Hoult
nm1093951,Aaron Taylor-Johnson
nm0186505,Bryan Cranston
nm0124930,Gerard Butler
nm0908094,Paul Walker
nm0881631,Karl Urban
nm0503567,Logan Lerman
nm2002649,Dave Franco
nm1089991,Tom Hiddleston
nm0227759,Peter Dinklage
nm2018237,Taylor Kitsch
nm0001570,Edward Norton
nm0001602,Guy Pearce
nm0749263,Mark Ruffalo
nm0000620,Mickey Rourke
nm0001449,Frank Langella
nm1519666,Eddie Redmayne
nm0000657,David Strathairn
nm0005024,Terrence Howard
nm0000146,Ralph Fiennes
nm0929489,Tom Wilkinson
nm0002070,Richard Farnsworth
nm0000560,Nick Nolte
nm1455681,AnnaSophia Robb
nm2605345,Gemma Arterton
nm1312575,Olivia Wilde
nm0279545,Isla Fisher
nm0940362,Shailene Woodley
nm2313103,Rebel Wilson
nm0731075,Emma Roberts
nm1720028,Amber Heard
nm1954240,Teresa Palmer
nm1519680,Saoirse Ronan
nm0006969,Elizabeth Banks
nm0526946,Ida Lupino
nm1754059,Natalie Dormer
nm0811242,Brittany Snow
nm0544718,Kate Mara
nm2584600,Julianne Hough
nm2934314,Lily Collins
nm1130627,Cobie Smulders
nm1404408,Alice Eve
nm1512166,Jamie Chung
nm0636426,Noomi Rapace
nm0515116,Blake Lively
nm1192254,Maggie Grace
nm0004754,Jessica Biel
nm1200692,Eva Green
nm0001228,Peter Fonda
nm0000437,Woody Harrelson
nm0000671,Billy Bob Thornton
nm0252961,Idris Elba
nm0001329,Nigel Hawthorne
nm0000401,Laurence Fishburne
nm0001653,Stephen Rea
nm0000886,Warren Beatty
nm0001321,Richard Harris
nm0000131,John Cusack
nm0000110,Kenneth Branagh
nm0001579,Edward James Olmos
nm0001884,Max von Sydow
nm0001136,Bruce Dern
nm0001364,Bob Hoskins
nm0000249,James Woods
nm0370035,John Hawkes
nm0001258,James Garner
nm0001832,Sam Waterston
nm0001371,Tom Hulce
nm0001215,Albert Finney
nm0002018,Tom Conti
nm0183822,Tom Courtenay
nm0001545,Dudley Moore
nm0000457,John Hurt
nm0993507,Kat Dennings
nm1231899,Priyanka Chopra Jonas
nm0728938,Emmanuelle Riva
nm1950086,Greta Gerwig
nm0488953,Brie Larson
nm1140300,Jessica Lucas
nm0266029,Maria Falconetti
nm0002093,Greer Garson
nm0751426,Rosalind Russell
nm0000079,Raquel Welch
nm0000400,Linda Fiorentino
nm2829737,Gabourey Sidibe
nm0001114,Judy Davis
nm0001201,Mia Farrow
nm0851582,Audrey Tautou
nm0603402,Jeanne Moreau
nm0943837,Jane Wyman
nm0001687,Gena Rowlands
nm0544334,Lesley Manville
nm0647634,Elizabeth Olsen
nm0000176,Nastassja Kinski
nm0491259,Mélanie Laurent
nm0001365,Whitney Houston
nm0005031,Felicity Huffman
nm0001767,Imelda Staunton
nm1209966,Oscar Isaac
nm1417647,Jon Heder
nm1886602,Miles Teller
nm0117709,Daniel Brühl
nm0001254,James Gandolfini
nm0430107,Michael B. Jordan
nm0000578,Anthony Perkins
nm0000667,David Thewlis
nm0001428,Klaus Kinski
nm0000532,Malcolm McDowell
nm0935653,Ray Winstone
nm0000901,Jean-Paul Belmondo
nm0785227,Andy Serkis
nm0000111,Matthew Broderick
nm0000454,Dennis Hopper
nm0740264,Michael Rooker
nm0001252,Vincent Gallo
nm0000228,Kevin Spacey
nm0001993,Vincent Cassel
nm0799777,J.K. Simmons
nm0000472,Boris Karloff
nm0000048,Peter Lorre
nm0000190,Matthew McConaughey
nm0175916,Paddy Considine
nm0000202,Ryan Phillippe
nm0913488,Kerry Washington
nm0005251,Carrie-Anne Moss
nm0001463,Janet Leigh
nm1503432,Catalina Sandino Moreno
nm0608090,Samantha Morton
nm1095720,Keisha Castle-Hughes
nm0001766,Barbara Stanwyck
nm0000260,Joan Allen
nm0005216,Janet McTeer
nm0005244,Fernanda Montenegro
nm0000218,Kristin Scott Thomas
nm0000950,Brenda Blethyn
nm0000223,Elisabeth Shue
nm0001669,Miranda Richardson
nm0000330,Stockard Channing
nm0707023,Luise Rainer
nm0001521,Mary McDonnell
nm0000840,Lucille Ball
nm0000368,Laura Dern
nm0172604,Pauline Collins
nm0000254,Isabelle Adjani
nm0000429,Melanie Griffith
nm0000476,Sally Kirkland
nm0000737,Jane Alexander
nm0556850,Marsha Mason
nm0383603,Freddie Highmore
nm0000150,Michael J. Fox
nm0000237,John Travolta
nm0000334,Chow Yun-Fat
nm0532235,Seth MacFarlane
nm0001472,Jet Li
nm0002144,John Houseman
nm0001569,Chuck Norris
nm0000241,Jean-Claude Van Damme
nm0005377,Sam Rockwell
nm0793766,Takashi Shimura
nm0001290,Richard E. Grant
nm0000558,Leslie Nielsen
nm0670408,Simon Pegg
nm0000518,John Malkovich
nm0788335,Michael Shannon
nm0000640,Martin Sheen
nm0001302,Christopher Guest
nm0000614,Alan Rickman
nm0355097,Jackie Earle Haley
nm0949574,Gig Young
nm0000652,James Spader
nm0051509,Eric Bana
nm0244151,Romain Duris
nm0001727,Robert Shaw
nm0915865,Jacki Weaver
nm0067367,Bérénice Bejo
nm2794962,Hailee Steinfeld
nm0000492,Jennifer Jason Leigh
nm0000599,Kathleen Quinlan
nm0378245,Taraji P. Henson
nm0752407,Amy Ryan
nm0002039,Ruby Dee
nm0001049,Jill Clayburgh
nm0056770,Adriana Barraza
nm0452860,Rinko Kikuchi
nm0001416,Catherine Keener
nm0001648,Charlotte Rampling
nm0645683,Sophie Okonedo
nm0165101,Patricia Clarkson
nm0013037,Shohreh Aghdashloo
nm0517820,Lindsay Lohan
nm0005502,Michelle Trachtenberg
nm0001721,Chloë Sevigny
nm0001655,Lynn Redgrave
nm0341737,Rachel Griffiths
nm3053338,Margot Robbie
nm0000666,Lili Taylor
nm0917848,Robin Weigert
nm1128572,Lake Bell
nm0001647,Claude Rains
nm0000114,Steve Buscemi
nm0722636,John Rhys-Davies
nm0004462,Jean-Louis Trintignant
nm0001072,Joseph Cotten
nm0001608,Barry Pepper
nm0002233,Erich von Stroheim
nm0933940,Patrick Wilson
nm0000502,Christopher Lloyd
nm0004936,Ben Foster
nm0566948,Joel McCrea
nm0158856,Choi Min-sik
nm0000191,Ewan McGregor
nm0305558,Gael García Bernal
nm0004486,Bruno Ganz
nm0000276,Sean Astin
nm0451234,Irrfan Khan
nm0355910,Michael C. Hall
nm0001702,Roy Scheider
nm0000729,Casey Affleck
nm0000997,Gary Busey
nm0005342,Norman Reedus
nm0001099,Jeff Daniels
nm0001804,Stanley Tucci
nm0000662,Kiefer Sutherland
nm0000706,Michelle Yeoh
nm2244205,Léa Seydoux
nm0424848,Dakota Johnson
nm0000365,Julie Delpy
nm0000157,Linda Hamilton
nm0000402,Carrie Fisher
nm0000427,Pam Grier
nm0001951,Björk
nm0115161,Emily Browning
nm0000496,Juliette Lewis
nm0000572,Sarah Jessica Parker
nm0001453,Piper Laurie
nm1415323,Miley Cyrus
nm0005499,Lily Tomlin
nm0005412,Jane Seymour
nm0001784,Gloria Stuart
nm0001735,Talia Shire
nm2933757,Gal Gadot
nm0528987,Sue Lyon
nm0000556,Olivia Newton-John
nm0000378,Minnie Driver
nm0000414,Teri Garr
nm0005392,Keri Russell
nm0781029,Jean Seberg
nm0001631,Sarah Polley
nm0000982,Josh Brolin
nm0001358,Hal Holbrook
nm0005023,Djimon Hounsou
nm0000369,Matt Dillon
nm0000257,Alan Alda
nm0002006,Thomas Haden Church
nm0654110,Clive Owen
nm0913822,Ken Watanabe
nm4139037,Suraj Sharma
nm0000604,John C. Reilly
nm0003817,Michael Clarke Duncan
nm0005286,Haley Joel Osment
nm0001427,Greg Kinnear
nm0000608,Burt Reynolds
nm0001233,Robert Forster
nm0005403,Jason Schwartzman
nm0000513,William H. Macy
nm0000090,Armin Mueller-Stahl
nm0000619,Tim Roth
nm0000342,James Cromwell
nm0001590,Chazz Palminteri
nm0000641,Gary Sinise
nm0006890,Paul Scofield
nm0000592,Pete Postlethwaite
nm0915989,Hugo Weaving
nm0000586,Jada Pinkett Smith
nm0001575,Tatum O'Neal
nm0267506,Anna Faris
nm0567408,Hattie McDaniel
nm0000463,Famke Janssen
nm0683253,Rosamund Pike
nm0001372,Bonnie Hunt
nm0005182,Leslie Mann
nm1411676,Mindy Kaling
nm0628601,Thandiwe Newton
nm0688132,Amy Poehler
nm0001605,Amanda Peet
nm0005466,Julia Stiles
nm0004742,Maria Bello
nm0578949,Eva Mendes
nm1289434,Emily Blunt
nm0126284,Rose Byrne
nm0000171,Ashley Judd
nm3592338,Emilia Clarke
nm0000775,Christina Applegate
nm0000505,Nia Long
nm0428065,Felicity Jones
nm0000495,Téa Leoni
nm1275259,Alexandra Daddario
nm0540441,Jena Malone
nm0000152,Richard Gere
nm0296545,Nick Frost
nm0000501,Ray Liotta
nm0001674,Chris Rock
nm0358316,Jon Hamm
nm0000439,Neil Patrick Harris
nm0000221,Charlie Sheen
nm0753314,Mark Rylance
nm0000412,Andy Garcia
nm0503627,Michael Lerner
nm0001295,Graham Greene
nm0001117,Bruce Davison
nm0000101,Dan Aykroyd
nm0000732,Danny Aiello
nm0000203,River Phoenix
nm0001777,Dean Stockwell
nm0000345,Billy Crystal
nm0000422,John Goodman
nm0089217,Orlando Bloom
nm0001745,Stellan Skarsgård
nm0002907,Alexander Skarsgård
nm0000196,Mike Myers
nm0879085,Tyrese Gibson
nm0000704,Elijah Wood
nm0000362,Danny DeVito
nm0001333,Susan Hayward
nm0735442,Michelle Rodriguez
nm0001264,Sarah Michelle Gellar
nm0644897,Sandra Oh
nm0452288,Margot Kidder
nm0461498,Beyoncé
nm0356017,Rebecca Hall
nm0005305,Piper Perabo
nm0001073,Courteney Cox
nm0000205,Parker Posey
nm1745736,Paula Patton
nm1157358,Michelle Monaghan
nm0000132,Claire Danes
nm0005049,Allison Janney
nm0098378,Kate Bosworth
nm0939697,Evan Rachel Wood
nm0000227,Mira Sorvino
nm0955471,Ziyi Zhang
nm0004789,Amanda Bynes
nm0001435,Lisa Kudrow
nm1779870,Brit Marling
nm7248827,Cynthia Erivo
nm0005527,Sofía Vergara
nm0601553,Mandy Moore
nm0000515,Virginia Madsen
nm0005188,James Marsden
nm0000741,Tim Allen
nm0000610,Giovanni Ribisi
nm0000442,Rutger Hauer
nm0000681,Vince Vaughn
nm0004051,Brian Cox
nm0000598,Dennis Quaid
nm0000491,John Leguizamo
nm0000474,Michael Keaton
nm0121605,Billy Burke
nm0322407,Brendan Gleeson
nm0000314,Charles Bronson
nm0000596,Jonathan Pryce
nm0001497,Tobey Maguire
nm0790688,Michael Sheen
nm0519043,Justin Long
nm0085312,Jack Black
nm0000316,Mel Brooks
nm0000112,Pierce Brosnan
nm0000293,Sean Bean
nm0991810,Mahershala Ali
nm0241049,Josh Duhamel
nm0000552,Eddie Murphy
nm0269463,Jon Favreau
nm0000418,Danny Glover
nm2951768,Freida Pinto
nm0240381,Hilary Duff
nm0935541,Mary Elizabeth Winstead
nm0177639,Jennifer Coolidge
nm2057859,Andrea Riseborough
nm0000208,Molly Ringwald
nm0005064,January Jones
nm0748973,Maya Rudolph
nm0000521,Sophie Marceau
nm0004376,Franka Potente
nm2946516,Claire Foy
nm0429069,Rashida Jones
nm0000224,Alicia Silverstone
nm0001273,Lillian Gish
nm1431940,Evangeline Lilly
nm1469236,Olivia Colman
nm0257969,Mireille Enos
nm0001349,Jennifer Love Hewitt
nm0002536,Emmy Rossum
nm1428821,Joey King
nm0329481,Ginnifer Goodwin
nm0852132,Christine Taylor
nm1227814,Vanessa Hudgens
nm0180411,Abbie Cornish
nm6073955,Florence Pugh
nm0000453,Ian Holm
nm0001447,Nathan Lane
nm0000144,Cary Elwes
nm0001454,Martin Lawrence
nm0176869,Steve Coogan
nm0056187,Sacha Baron Cohen
nm0942482,Jeffrey Wright
nm0000329,Jackie Chan
nm0001173,Aaron Eckhart
nm0941777,Sam Worthington
nm0202603,Jack Davenport
nm0000547,Alfred Molina
nm0000347,Tim Curry
nm0000434,Mark Hamill
nm0000409,Brendan Fraser
nm0001084,Ice Cube
nm0000630,Liev Schreiber
nm1159180,Ed Helms
nm8402992,Daisy Edgar-Jones
nm4960279,Margaret Qualley
nm0000174,Val Kilmer
nm1258970,Russell Brand
nm0005266,Craig T. Nelson
nm0005170,Bernie Mac
nm0001772,Patrick Stewart
nm0001293,Seth Green
nm0005110,Ashton Kutcher
nm0001642,Randy Quaid
nm0000648,Wesley Snipes
nm0654648,David Oyelowo
nm0835016,Mark Strong
nm0001705,Rob Schneider
nm0059431,Jay Baruchel
nm0159789,Hayden Christensen
nm0829032,Ray Stevenson
nm0079273,Paul Bettany
nm0491402,Hugh Laurie
nm0000676,Chris Tucker
nm0001006,John Candy
nm0000277,Richard Attenborough
nm0000563,Chris O'Donnell
nm0000973,Benjamin Bratt
nm0996669,Common
nm0005541,Marlon Wayans
nm0000983,Albert Brooks
nm0666739,Aaron Paul
nm0000346,Macaulay Culkin
nm0000385,Sam Elliott
nm5473782,Taron Egerton
nm0001029,Jim Caviezel
nm0000062,Elvis Presley
nm1706767,Jonah Hill
nm0437646,Sung Kang
nm0837177,Jason Sudeikis
nm0001326,Josh Hartnett
nm0614165,Cillian Murphy
nm0001082,Billy Crudup
nm1107001,Anthony Mackie
nm0000858,John Barrymore
nm0648249,Timothy Olyphant
nm1265802,Josh Gad
nm0000708,Billy Zane
nm0005561,Luke Wilson
nm0765597,Peter Sarsgaard
nm0406975,Rhys Ifans
nm0333410,Topher Grace
nm0366389,Kevin Hart
nm0200452,Paul Dano
nm0352778,Bill Hader
nm0000507,Rob Lowe
nm0000305,Mel Blanc
nm0005450,David Spade
nm0000448,Lance Henriksen
nm0420955,Richard Jenkins
nm0000389,Emilio Estevez
nm1013003,Michael Ealy
nm0068260,Jamie Bell
nm1684869,Troy Baker
nm1104131,Danny McBride
nm0001667,Jonathan Rhys Meyers
nm0148418,Michael Cera
nm0000200,Bill Paxton
nm0344435,Ioan Gruffudd
nm0511088,Andrew Lincoln
nm0000597,Bill Pullman
nm0732497,Craig Robinson
nm0206359,Charlie Day
nm1676221,Andy Samberg
nm1330560,Garrett Hedlund
nm1024677,John Krasinski
nm0001659,Christopher Reeve
nm0564215,James McAvoy
nm0001722,Rufus Sewell
nm3485845,Adam Driver
nm0000885,Ned Beatty
nm0000092,John Cleese
nm0001806,John Turturro
nm0001471,Jerry Lewis
nm8958770,Paul Mescal
